arm,mechanism,severity,outcome,replicate,n_kept,treated_share_kept,naive,outcome_regression,ipw,aipw
primary,confounded_assignment,2.0,visit,14,451659,0.8092233299901032,0.09412785137329298,0.02347620310636365,0.04942659577027875,0.02247568888748579
primary,confounded_assignment,2.0,visit,15,452121,0.8095620420197248,0.09384291696377073,0.026732297944244313,0.05226767625908503,0.025820783625327203
primary,confounded_assignment,2.0,visit,16,452460,0.809415196923485,0.09380625277938592,0.020083763446854128,0.048983240740516985,0.01841240199304599
primary,confounded_assignment,2.0,visit,17,453066,0.8099989846953866,0.09367540102723534,0.02258003011456524,0.05065180431137984,0.021235627058829153
primary,confounded_assignment,2.0,visit,18,453126,0.8101896602710946,0.09357422237311971,0.021156767918921314,0.05083775109248134,0.0207317491217842
primary,confounded_assignment,2.0,visit,19,452442,0.8091048134346502,0.09433723528088622,0.022274395425320784,0.05104284946087467,0.020799535204529786
robustness,selective_attrition,0.0,visit,0,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,1,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,2,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,3,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,4,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,5,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,6,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,7,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,8,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,9,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,10,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,11,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,12,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
robustness,selective_attrition,0.0,visit,13,1000000,0.85,0.01034352941176471,0.00703829051753403,0.006708305114605094,0.007472872695997216
